Title,Calories,Proteins,Fats,Carbohydrates
шорт рибс краевая покромка без костей говядина только мясо обрезь до 0 жира первый сорт сырая,161,20.14,8.99,0
шорт рибс краевая покромка без костей говядина только мясо обрезь до 0 жира первый сорт тушеная,224,28.79,12.08,0
язык говяжий,224,14.9,16.09,3.68
язык говяжий,173,16,12.1,2.2
язык говяжий в желе консервы,212,22.4,13.6,2.4
язык говяжий отварной по 1394,231,24,15,2.7
язык говяжий вареная на маленьком огне,284,19.29,22.3,0
язык телячий,131,17.18,5.48,1.91
язык телячий тушеный,202,25.85,10.1,0
белый гриб,34,3.7,1.7,1.1
белый гриб сушеный,286,30.3,14.3,9
белый гриб быстро обжаренный стирфрай,26,3.58,0.33,2.24
белый гриб вареный без соли,28,2.17,0.47,03.09
белый гриб вареный с солью,28,2.17,0.47,03.09
белый гриб выращенный под ультрафиолетом,22,03.09,0.34,2.26
белый гриб приготовленный в микроволновке,35,3.91,0.46,3.54
белый гриб сырой,22,03.09,0.34,2.26
вешенки,33,3.31,0.41,3.79
грибы жареные сушеные по 1268,270,11.3,24.4,1.2
грибы жареные в сметанном соусе по 1242,172,6.7,14.5,3.5
грибы жареные с картофелем по 1242,114,3.9,5.2,12.7
грибы запеченные в сметанном соусе по 1260,188,6.5,16.6,3.2
грибы консервированные содержимое без жидкости,25,1.87,0.29,2.69
грибы тушенные с картофелем по 1228,117,4,6.4,10.7
груздь,16,1.8,0.8,0.5
лисички,32,1.49,0.53,03.06
лисички,19,1.5,1.1,1
маслята,9,2.4,0.7,0.5
опенок,22,2.2,1.2,0.5
подберезовик,20,2.3,0.9,1.2
подберезовик сушеный,231,23.5,9.2,14.3
подосиновик,22,3.3,0.5,1.2
подосиновик сушеный,299,35.4,5.4,12.9
портобелло грибы,22,2.11,0.35,2.57
портобелло грибы приготовленные на гриле,29,3.28,0.58,2.24
портобелло грибы выращенные под ультрафиолетом,22,2.11,0.35,2.57
портобелло грибы выращенные под ультрафиолетом приготовленные на гриле,29,3.28,0.58,2.24
рыжик,22,1.9,0.8,0.5
сморчок гриб,31,3.12,0.57,2.3
сморчок гриб,22,2.9,0.4,0.2
соломенные грибы консервированные содержимое без жидкости,32,3.83,0.68,2.14
сыроежки,19,1.7,0.7,1.5
чернушка,0,0,0,0
шампиньоны,27,4.3,1,0.1
шампиньоны выращенные под ультрафиолетом,22,2.5,0.1,3.7
шампиньоны сырые,22,2.5,0.1,3.7
шиитаке грибы,34,2.24,0.49,4.29
шиитаке грибы быстро обжаренные стирфрай,39,3.45,0.35,04.08
шиитаке грибы приготовленные без соли,56,1.56,0.22,12.29
шиитаке грибы приготовленные с солью,56,1.56,0.22,12.29
шиитаке грибы сушеные,296,9.58,0.99,63.87
эноки опёнок зимний энокитаки грибы,37,2.66,0.29,5.11
детское питание банан без тапиоки пюре,91,1,0.2,19.74
детское питание горошек и коричневый рис,64,3.4,0.5,8.99
детское питание груши кубики для детей начинающих ходить,57,0.3,0.1,12.4
детское питание десерт банан с яблоком пюре,68,0.3,0.2,15.3
детское питание десерт банановый йогурт пюре,78,1.1,0.52,16.85
детское питание десерт банановый пудинг пюре,68,1,0.8,13.34
детское питание десерт вишневый пудинг с ванилью пюре,68,0.2,0.3,17.5
детское питание десерт голландские яблоки пюре,75,0.2,0.4,18.34
детское питание десерт заварной крем ванильный пюре,85,1.6,2,16
детское питание десерт персиковый йогурт,77,0.9,0.18,17.2
детское питание десерт персиковый коблер фруктовый пирог с толстой верхней коркой пюре,65,0.3,0,17.1
детское питание десерт фруктовый пудинг ананас пюре,81,1.3,0.3,19.6
детское питание десерт фруктовый пудинг апельсиновый пюре,80,1.1,0.9,17.1
детское питание десерт фруктовый без доб аскорбиновой кислоты пюре,59,0.3,0,15.4
детское питание десерт черничный йогурт пюре,77,0.5,0.7,16.65
детское питание йогурт цельное молоко с фруктами со злаками с доб dhaдокозагексаеновая кислота,98,3.4,3.53,12.92
детское питание йогурт цельное молоко с фруктами со злаками с доб железа,92,03.05,03.08,12.4
детское питание картофельное пюре чеддер и брокколи для детей начинающих ходить,48,1.11,1.47,6.27
детское питание картошка для детей начинающих ходить,52,1,0.1,10.83
детское питание каша коричневый рис сухая быстрого приготовления,406,8.7,3,79.48
детское питание каша овсяная приготовленная на цельном молоке,116,5,4.1,14.2
детское питание каша овсяная с бананом приготовленная на цельном молоке,86,3.82,3.46,9.6
детское питание каша овсяная с бананом сухая,399,6.67,6.67,72.87
детское питание каша овсяная с медом приготовленная на цельном молоке,115,5,3.9,15.3
детское питание каша овсяная с медом сухая,391,13.5,7,69.3
детское питание каша овсяная сухая,394,10.99,6.36,66.18
детское питание каша овсянка яблочное пюре с бананами пюре,75,0.89,0.89,14.72
детское питание каша рис яблочное пюре с бананами пюре,80,1.2,0.4,16.1
детское питание каша рисовая приготовленная на цельном молоке,85,3.45,3.38,10.31
детское питание каша рисовая с бананом приготовленная на цельном молоке,86,3.57,3.32,10.39
детское питание каша рисовая с бананом сухая,404,8.7,4.2,78.9
детское питание каша рисовая с медом приготовленная на цельном молоке,115,3.9,3.3,17.1
детское питание каша рисовая сухая,390,6.65,2.19,81.84
детское питание каша с высоким содерж белка приготовленная на цельном молоке,111,8.7,3.8,11.6
детское питание каша с высоким содерж белка с яблоком и апельсином приготовленная на цельном молоке,112,6.9,3.9,13.4
детское питание каша с высоким содерж белка с яблоком и апельсином сухая,374,25.4,6.5,50.5
детское питание каша с яичными желтками пюре,51,1.9,1.8,6.1
детское питание каша с яйцами пюре,58,2.2,1.5,8
детское питание каша смесь приготовленная на цельном молоке,96,4.14,3.38,11.5
детское питание каша смесь с бананом приготовленная на цельном молоке,86,3.82,3.46,9.6
детское питание каша смесь с бананом сухая,391,10.7,4.6,69.3
детское питание каша смесь с медом приготовленная на цельном молоке,115,5,3.6,15.9
детское питание каша смесь сухая,399,6.66,6.66,71.51
детское питание каша цельная пшеница с яблоками сухая,402,6.6,4.8,76.5
детское питание каша ячменная приготовленная на цельном молоке,84,3.73,3.26,9.34
детское питание каша ячменная сухая,376,13.2,6.6,62.8
детское питание крендельки,397,10.8,2,79.9
детское питание кререры овощные,477,8.4,19.6,62.85
детское питание кукуруза и сладкий картофель батат пюре,68,1.26,0.28,13.43
детское питание морковка с говядиной пюре,59,3.4,2.5,3.1
детское питание морковка для детей начинающих ходить,21,0.6,0.3,2.93
детское питание мясо ветчина пюре,97,11.3,3.8,3.7
детское питание мясо говядина с овощами для детей начинающих ходить,69,3.5,2.1,6.92
детское питание мясо говядина пюре,81,12.03,2.52,2.43
детское питание мясо индейки пюре,111,11.5,6.2,1.4
детское питание мясо свинины пюре,124,14,7.1,0
детское питание мясо телятина пюре,81,13.12,2.45,1.51
детское питание мясо цыпленок пюре,130,13.7,7.9,0.1
детское питание мясо ягненка пюре,94,14.07,3.41,0.85
детское питание обед говядина с овощами,96,02.03,6.93,4.56
детское питание обед говядина с рисом для детей начинающих ходить,82,5,2.9,8.8
детское питание обед говядина лазанья для детей начинающих ходить,77,4.2,2.1,10
детское питание обед индейка с овощами пюре,48,2.32,0.9,6.12
детское питание обед индейка с рисом и овощами для детей начинающих ходить,60,3.8,1.6,6.7
детское питание обед индейка с рисом пюре,52,2.27,1.24,07.04
детское питание обед картофель с сыром и ветчиной для детей начинающих ходить,78,3.5,2,11.97
детское питание обед куриный суп пюре,50,1.6,1.7,6.1
детское питание обед курица с рисом,51,1.6,0.9,8.1
детское питание обед лапша с говядиной для детей раннего возраста,57,2.5,1.9,6.2
детское питание обед лапша с говядиной пюре,63,2.44,2.26,6.88
детское питание обед лапша с курицей пюре,74,3.53,3.22,6.11
детское питание обед макароны с сыром для детей начинающих ходить,82,3.5,2.6,10.7
детское питание обед макароны с сыром пюре,67,3.14,2.11,8.25
детское питание обед макароны говядина в томатном соусе для детей начинающих ходить,82,4.34,1.9,10.43
детское питание обед овощи с беконом пюре,69,1.92,2.95,8.81
детское питание обед овощи с ветчиной пюре,59,2.19,2.14,7.8
детское питание обед овощи с говядиной пюре,77,2.21,3.6,7.54
детское питание обед овощи с клецками и говядиной пюре,48,2,0.9,7.7
детское питание обед овощи с лапшой и индейкой пюре,44,1.2,1.2,5.7
детское питание обед овощи с мясом ягненка пюре,52,2,2,6.9
детское питание обед овощи лапша с курицей пюре,63,2,2.5,6.8
детское питание обед паста макаронные изделия с овощами,60,1.7,2.1,6.9
детское питание обед рагу из говядины для детей начинающих ходить,51,5.1,1.2,5.5
детское питание обед рагу из цыпленка для детей начинающих ходить,78,5.2,3.7,5.8
детское питание обед сладкий картофель батат с курицей пюре,74,2.51,2.17,9.74
детское питание обед смесь овощей пюре,41,1.2,0.1,9.5
детское питание обед спагетти с мясом и помидорами томатами для детей начинающих ходить,75,5.3,1,10.8
детское питание обед цыпленок с овощами пюре,59,2.47,1.73,6.32
детское питание обогащенная злаковая плитка с фруктовым наполнителем,344,5.43,5.3,66.93
детское питание овощи и коричневый рис пюре,69,1.9,1.5,11
детское питание овощи горошек пюре,50,3.27,0.43,6.36
детское питание овощи зеленая фасоль и картофель,62,2.2,1.9,7.6
детское питание овощи зеленая фасоль пюре,27,1.2,0.17,04.09
детское питание овощи кукуруза протертая пюре,57,1.4,0.4,12
детское питание овощи морковь пюре,26,0.8,0.1,4.3
детское питание овощи мускатная тыква и кукуруза,50,2,0.6,7.26
детское питание овощи овощная смесь пюре,36,1,0.5,6.75
детское питание овощи с грядки пюре,32,2.3,0.2,5.3
детское питание овощи свекла пюре,34,1.3,0.1,5.8
детское питание овощи сквош тыква или кабачок или патиссон пюре,28,0.81,0.2,4.83
детское питание овощи сладкий картофель батат пюре,57,1.1,0.1,11.7
детское питание овощи шпинат протертый пюре,37,2.5,1.3,3.9
детское питание овсянка с фруктами сухая быстрого приготовления для детей начинающих ходить,402,10.5,07.05,66.3
детское питание персики кубики для детей начинающих ходить,51,0.5,0.2,11
детское питание печеные продукты хлебные палочки,421,6.4,9.9,74.38
детское питание печенье,433,11.8,13.2,66.9
детское питание печенье для прорезывания зубов,407,7.97,9.27,66.58
детское питание печенье детское фруктовое,435,6.8,12.6,70.3
детское питание печенье с марантой,424,7.6,10,75.2
детское питание равиоли с сырной начинкой с томатным соусом,99,3.6,2.2,16.2
детское питание рис с яблоками сухой,396,6.7,2.4,83.89
детское питание сливы бананы и рис пюре,57,1.1,0.3,11.4
детское питание смесь фруктов йогурт пюре,75,0.8,0.8,15.83
детское питание смесь фруктовых соков с низкожирным йогуртом,74,2.4,0.8,14.28
детское питание сок банана с маложирный йогуртом,86,2.5,0.8,17.14
детское питание сок апельсин и виноград,46,0.1,0.2,11.24
детское питание сок апельсиновый,45,0.6,0.3,10.1
детское питание сок грушевый,43,0,0,11.76
детское питание сок из апельсинов и абрикосов,46,0.8,0.1,10.8
детское питание сок из апельсинов и ананасов,48,0.5,0.1,11.6
детское питание сок из апельсинов и бананов,50,0.7,0.1,11.9
детское питание сок из морковноапельсиновый,43,0.5,0.1,9.5
детское питание сок из чернослив и апельсина,70,0.6,0.3,16.8
детское питание сок фруктовая смесь,47,0.1,0.1,11.6
детское питание сок фруктовый пунш с кальцием,52,0.2,0.1,12.3
детское питание сок яблоко,47,0,0.1,11.6
детское питание сок яблоко и персик,43,0.2,0.1,10.4
детское питание сок яблоко и слива,49,0.1,0,12.3
детское питание сок яблоко и чернослив,72,0.2,0.1,18
детское питание сок яблочноапельсиновобанановый,47,0.4,0.1,11.4
детское питание сок яблочноапельсиновый,43,0.4,0.2,10.1
детское питание сок яблочноклюквенный,46,0,0.02,11.49
детское питание сок яблочно батат,47,0.3,0.1,10.9
детское питание сок яблочный с вишней,41,0.1,0.2,9.9
детское питание сок яблочный с кальцием,46,0.06,0.1,10.7
детское питание сухарики,426,10.1,9.7,71.7
детское питание фасоль зеленая кусочки для детей начинающих ходить,29,1.2,0.2,4.4
детское питание фруктовый десерт манго с тапиокой,70,0.3,0.2,17.9
детское питание фруктовый десерт суприм,73,0.5,0.2,15.18
детское питание фрукты абрикос с тапиокой пюре,60,0.3,0,14.8
детское питание фрукты бананы с ананасами и тапиокой пюре,65,0.2,0,16.2
детское питание фрукты бананы с тапиокой пюре,56,0.4,0.1,13.7
детское питание фрукты бананы с яблоками и грушами пюре,83,0.9,0.22,17.91
детское питание фрукты груши с ананасом пюре,41,0.3,0.1,8.3
детское питание фрукты груши для малышариков,44,0.3,0.1,8.8
детское питание фрукты груши пюре,42,0.3,0.2,8
детское питание фрукты гуава с папайей и тапиокой пюре,63,0.2,0.1,17
детское питание фрукты папайя и яблочное пюре с тапиокой пюре,70,0.2,0.1,17.5
детское питание фрукты персики пюре,65,0.94,0.33,13.18
детское питание фрукты сливы с тапиокой без аскорбиновой кислоты пюре,71,0.1,0,18.5
детское питание фрукты туттифрутти для малышариков,69,0.4,0.4,15.6
детское питание фрукты туттифрутти пюре,66,0.4,0.3,14.88
детское питание фрукты чернослив с тапиокой без аскорбиновой кислоты пюре,69,0.6,0.1,15.8
детское питание фрукты яблоко и малина пюре,58,0.2,0.2,13.5
детское питание фрукты яблоко и черникой пюре,61,0.2,0.2,14.5
детское питание фрукты яблочное пюре и абрикосы пюре,44,0.2,0.2,9.84
детское питание фрукты яблочное пюре и ананас пюре,37,0.1,0.1,8.6
детское питание фрукты яблочное пюре и вишня пюре,51,0,0,13
детское питание чернослив без доб витамина с пюре,100,1,0.2,20.82
детское питание яблоки с ветчиной пюре,62,2.6,0.9,9.1
детское питание яблоки с курицей пюре,65,2.16,1.38,09.08
детское питание яблоки кубики для детей начинающих ходить,50,0.19,0.36,9.66
детское питание яблочнобанановый сок,51,0.2,0.1,12.1
детское питание яблочный йогурт десерт пюре,93,0.8,1.6,19
заменитель грудного молока mead johnson enfamil lipil с железом готовый к употреблению с ara арахидоновая кислота и dhaдокозагексаеновая кисло,64,1.38,3.5,7.1
заменитель грудного молока mead johnson enfamil ar lipil готовый к употреблению с ara арахидоновая кислота и dhaдокозагексаеновая кислота,71,1.64,3.3,8.33
заменитель грудного молока mead johnson enfamil ar lipil порошок с ara арахидоновая кислота и dhaдокозагексаеновая кислота,504,12.4,25,57.4
заменитель грудного молока mead johnson enfamil enfacare lipil готовый к употреблению с  ara арахидоновая кислота и dhaдокозагексаеновая кисло,73,2,3.8,7.73
заменитель грудного молока mead johnson enfamil enfacare lipil порошок с ara арахидоновая кислота и dhaдокозагексаеновая кислота,505,13.9,26,53.8
заменитель грудного молока mead johnson enfamil lactofree lipil с железом жидкий концентрат невосстановленный с ara арахидоновая кислота и d,132,2.68,7.11,14.42
заменитель грудного молока mead johnson enfamil lactofree готовый к употреблению,63,1.38,3.5,7.18
заменитель грудного молока mead johnson enfamil lipil готовый к употреблению с ara арахидоновая кислота и dhaдокозагексаеновая кислота,68,1.31,3.5,7.86
заменитель грудного молока mead johnson enfamil lipil с железом жидкий концентрат с ara арахидоновая кислота и dhaдокозагексаеновая кислота,131,2.76,6.96,14.34
заменитель грудного молока mead johnson enfamil lipil с железом порошок с ara арахидоновая кислота и dhaдокозагексаеновая кислота,511,10.8,27,56.2
заменитель грудного молока mead johnson enfamil lipil с низким содерж железа готовый к употреблению с ara арахидоновая кислота и dhaдокозаге,64,1.38,3.5,7.18
заменитель грудного молока mead johnson enfamil lipil с низким содерж железа жидкий концентрат с ara арахидоновая кислота и dhaдокозагексаен,131,2.76,7.16,14.24
заменитель грудного молока mead johnson enfamil lipil с низким содерж железа порошок с ara арахидоновая кислота и dhaдокозагексаеновая кисло,511,10.8,27,56.2
заменитель грудного молока mead johnson enfamil nutramigen lipil с железом готовый к употреблению с ara арахидоновая кислота и dhaдокозагекса,68,1.83,3.5,7.21
заменитель грудного молока mead johnson enfamil nutramigen lipil с железом порошок невосстановленный с ara арахидоновая кислота и dhaдокозаг,514,14.1,27,53.6
заменитель грудного молока mead johnson enfamil nutramigen lipil с железом жидкий концентрат невосстановленный с ara арахидоновая кислота и,126,3.53,6.73,13.12
заменитель грудного молока mead johnson enfamil nutramigen с железом готовый к употреблению,66,1.83,3.5,6.81
заменитель грудного молока mead johnson enfamil nutramigen с железом жидкий концентрат невосстановленный,127,3.53,6.73,13.12
заменитель грудного молока mead johnson enfamil nutramigen с железом порошок невосстановленный,502,14.2,25,55
заменитель грудного молока mead johnson enfamil prosobee lipil с железом невосстановленный с ara арахидоновая кислота и dhaдокозагексаеновая,512,12.7,27,54.6
заменитель грудного молока mead johnson enfamil prosobee lipil жидкий концентрат невосстановленный с ara арахидоновая кислота и dhaдокозагек,131,3.19,7.11,13.58
заменитель грудного молока mead johnson enfamil prosobee с железом порошок невосстановленный,510,12.5,27,54.3
заменитель грудного молока mead johnson enfamil с железом готовый к употреблению,63,1.38,3.5,6.45
заменитель грудного молока mead johnson enfamil с железом порошок,520,10.8,27,56.2
заменитель грудного молока mead johnson enfamil с низким содерж железа готовый к употреблению,63,1.38,3.5,7.18
заменитель грудного молока mead johnson enfamil с низким содерж железа жидкий концентрат невосстановленный,511,10.8,27,56.2
заменитель грудного молока mead johnson lactofree lipil с железом порошок с ara арахидоновая кислота и dhaдокозагексаеновая кислота,521,10.9,28,56.3
заменитель грудного молока mead johnson lactofree с железом порошок невосстановленный,521,10.85,28,57
заменитель грудного молока mead johnson next step prosobee порошок невосстановленный,480,15.6,21,57.1
заменитель грудного молока mead johnson next step  prosobee lipil порошок с ara арахидоновая кислота и dhaдокозагексаеновая кислота,480,15.6,21,57.1
заменитель грудного молока mead johnson next step prosobee lipil готовый к употреблению с ara арахидоновая кислота и dhaдокозагексаеновая кис,67,2.14,2.91,08.09
заменитель грудного молока mead johnson pregestimil с железом невосстановленный,517,14,28,52.2
заменитель грудного молока mead johnson pregestimil с железом приготовленный из порошка,67,1.86,3.7,6.54
заменитель грудного молока mead johnson prosobee lipil с железом готовый к употреблению  с ara арахидоновая кислота и dhaдокозагексаеновая кис,64,1.64,3.5,6.47
заменитель грудного молока mead johnson prosobee с железом готовый к употреблению,63,1.64,3.5,6.11
заменитель грудного молока mead johnson prosobee с железом жидкий концентрат невосстановленный,131,3.19,7.13,13.58
заменитель грудного молока mead johnsonnext step prosobee приготовленный из порошка,67,2.14,2.91,08.08
заменитель грудного молока nestle нестле good start 2 essentials с железом готовый к употреблению,65,1.7,2.7,8.54
заменитель грудного молока nestle нестле good start 2 essentials с железом жидкий концентрат невосстановленный,125,3.25,5.13,16.5
заменитель грудного молока nestle нестле good start supreme с железом готовый к употреблению,66,1.45,3.37,7.39
заменитель грудного молока nestle нестле good start supreme с железом жидкий концентрат невосстановленный,127,2.79,6.5,14.2
заменитель грудного молока nestle нестле good start supreme с железом порошок,509,11.3,26.1,57.32
заменитель грудного молока nestle good start 2 essentials с железом порошок,471,12.2,19.3,62.23
заменитель грудного молока nestle good start essentials  соя с железом порошок,502,12.5,25.5,55.7
заменитель грудного молока nestle good start essentials соя с железом жидкий концентрат невосстановленный,128,3.2,6.5,14.1
заменитель грудного молока nestlegood start essentials soy с железом готовый к употреблению,65,1.63,3.3,7.17
заменитель грудного молока pbm products ultra bright beginnings готовый к употреблению ранее wyethayerst,63,1.4,3.5,6.4
заменитель грудного молока pbm products ultra bright beginnings жидкий концентрат невосстановленный ранее wyethayerst,130,2.9,7,13.9
заменитель грудного молока pbm products ultra bright beginnings порошок ранее wyethayerst,524,12,28,56
заменитель грудного молока pbm products ultra bright beginnings соя готовый к употреблению ранее wyethayerst,63,1.8,3.5,06.09
заменитель грудного молока pbm products ultra bright beginnings соя жидкий концентрат ранее wyethayerst,126,3.6,7,12.18
заменитель грудного молока pbm products ultra bright beginnings соя порошок ранее wyethayerst,508,13.6,27.2,52.2
заменитель грудного молока pbm products брендстор готовый к употреблению ранее wyethayerst,63,1.4,3.5,6.39
заменитель грудного молока pbm products брендстор жидкий концентрат невосстановленный ранее wyethayerst,130,2.9,7,13.9
заменитель грудного молока pbm products брендстор порошок ранее wyethayerst,524,12,28,56
заменитель грудного молока pbm products брендстор соя готовый к употреблению ранее wyethayerst,63,1.8,3.5,06.09
заменитель грудного молока pbm products брендстор соя жидкий концентрат невосстановленный ранее wyethayerst,126,3.6,7,12.18
заменитель грудного молока pbm products брендстор соя порошок ранее wyethayerst,508,13.6,27.2,52.2
арахисовое масло жидкое для заправки салатов или готовки,884,0,100,0
арахисовое масло жидкое,899,0,99.9,0
горчичное масло,898,0,99.8,0
горчичное масло,884,0,100,0
жир бараний топленый,897,0,99.7,0
жир говяжий,902,0,100,0
жир говяжий топленый,896,0,99.6,0
жир гусиный,900,0,99.8,0
жир индейки,900,0,99.8,0
жир кондитерский шортенинг для изготовления тортов и глазури на основе гидрогенизированного соевого масла,884,0,100,0
жир кондитерский шортенинг на основе гидрогенизированного кокосового и/или гидрогенизированного пальмоядрового масла,884,0,100,0
жир кондитерский шортенинг на основе фракционированного пальмового масла,884,0,100,0
жир кондитерский 71% для изделий из слоёного теста на основе хлопкового и частично гидрогенизированного соевого масел,628,0,71,0
жир кондитерский 80% для выпечки изготовления соусов и конфет на основе частично гидрогенизированного соевого масла,714,0.18,80,0.71
жир кондитерский 80% для изделий из слоёного теста на основе хлопкового и частично гидрогенизированного соевого масел,714,1.9,80.2,0
жир костный топленый,897,0,99.7,0
жир кулинарный,897,0,100,0
жир кулинарный прима,897,0,99.7,0
жир кулинарный «белорусский»,897,0,99.7,0
жир кулинарный «восточный»,897,0,99.7,0
жир кулинарный «новинка»,897,0,99.7,0
жир кулинарный «украинский»,897,0,99.7,0
жир кулинарный шортенинг для выпечки и кондитерских изделий на основе частично гидрогенизированного соевого масла,884,0,100,0
жир кулинарный шортенинг для выпечки хлеба на основе соевого гидрогенизированного и хлопкового масел,884,0,100,0
жир кулинарный шортенинг для выпечки на основе гидрогенизированного соевого пальмового и хлопкового масел,884,0,100,0
жир кулинарный шортенинг для жарки на основе гидрогенизированного соевого масла безлинолиевый менее 1%,884,0,100,0
жир кулинарный шортенинг для жарки жидкий на основе частично гидрогенизированного соевого масла,884,0,100,0
жир кулинарный шортенинг для жарки на основе говяжьего жира и хлопкового масла,900,0,100,0
жир кулинарный шортенинг для жарки на основе пальмового гидрогенизированного масла,884,0,100,0
жир кулинарный для жарки на основе частично гидрогенизированного соевого и кукурузного масел,884,0,100,0
жир кулинарный на основе свиного жира и растительного масла,900,0,100,0
жир кулинарный  для тортов на основе соевого гидрогенизированного и хлопкового гидрогенизированного масел,884,0,100,0
жир кулинарный домашний из смеси растительных масел,884,0,99.97,0
жир кулинарный домашний из смеси частично гидрогенизированных соевого и хлопкового масел,884,0,100,0
жир кулинарный домашний на основе смальца и растительного масла,900,0,100,0
жир кулинарный домашний на основе соевого гидрогенизированного и пальмового масел,884,0,100,0
жир кулинарный на основе соевого гидрогенизированного и хлопкового масел,884,0,100,0
жир кулинарный универсальный на основе соевого гидрогенизированного и пальмового гидрогенизированного масел,884,0,100,0
жир куриный,900,0,99.8,0
жир куриный,897,0,99.7,0
жир свиной,897,0,99.5,0
жир свиной топленый,896,0,99.6,0
жир свиной топленый смалец,902,0,100,0
жир утиный,882,0,99.8,0
заправка для салата по домашнему рецепту приготовленная,157,4.2,9.5,14.9
кокосовое масло жидкое,892,0,99.06,0
кокосовое масло жидкое,899,0,99.9,0
кокосовое масло гидрогенизированное для пищевой промышленности для изготовления взбитых кремов и добавок для кофе,880,0,99.5,0
кокосовое масло для пищевой промышленности для конфетной глазури масляных спреев жарки орехов,884,0,100,0
кокосовое масло кондитерский жир стандартная основа для глазури для мороженного промышленное,884,0,100,0
конопляное масло,899,0,99.85,0
кукурузное и канола рапсовое масла смесь,884,0,100,0
кукурузное масло,899,0,99.9,0
кукурузное масло для заправки салатов или готовки,900,0,100,0
кукурузное арахисовое и оливковое масла смесь,884,0,100,0
кунжутное масло,899,0,99.9,0
кунжутное масло для заправки салатов или готовки,884,0,100,0
льняное масло,898,0,99.8,0
льняное масло с добавлением измельченного льняного семени,878,0.37,99.01,0.39
льняное масло холодного отжима,884,0.11,99.98,0
льняное масло холодного отжима,884,0.11,99.98,0
маковое масло,884,0,100,0
маковое масло,898.2,0,99.8,0
маргарин славянский,745,0.5,82,1.2
маргарин эра,743,0.3,82,1
маргарин «здоровье»,743,0.5,82,0.7
маргарин «экстра»,744,0.5,82,1
маргарин спред на основе растительного масла 20% жира,175,0,19.5,0.4
маргарин спред на основе растительного масла 20% жира без соли,175,0,19.5,0.4
маргарин спред на основе растительного масла 3539% жира,349,0.23,37.98,1.52
маргарин спред на основе растительного масла 37% жира с солью с витамином d,339,0.51,37.77,0.66
маргарин спред на основе растительного масла 40% жира с солью,362,1,40,1
маргарин спред на основе растительного масла 50% жира с солью,450,1,50,1
маргарин спред на основе растительного масла 52% жира подслащенный,534,0,52,16.7
маргарин спред на основе растительного масла 60% жира без соли,533,0.17,59.81,0.86
маргарин спред на основе растительного масла 60% жира без соли с витамином d,542,0.17,59.81,0.86
маргарин спред на основе растительного масла 60% жира с солью,526,0.6,59.17,0
маргарин спред на основе растительного масла 60% жира с солью stick,537,0.12,60.39,0.69
маргарин спред на основе растительного масла 60% жира с солью tub,533,0.17,59.81,0.86
маргарин спред на основе растительного масла 60% жира с солью с витамином d,535,0.6,59.17,0
маргарин спред на основе растительного масла 60% жира с солью с витамином d stick,537,0.12,60.39,0.69
маргарин спред на основе растительного масла 60% жира с солью с витамином d tub,533,0.17,59.81,0.86
маргарин спред на основе растительного масла 6770% жира,606,0.07,68.29,0.59
маргарин спред на основе растительного масла обезжиренный,44,0.1,03.04,4.34
маргарин спред на основе растительного масла обезжиренный жидкий с солью,43,1.5,3,2.5
маргарин спред на основе соевого масла 70% жира,628,0.26,70.22,1.53
маргарин спред с йогуртом 35% жира с солью,330,2,35,2
маргарин спред с йогуртом 70% жира с солью,630,0.3,70,0.5
маргарин спред light buttery spread компании smart balance,337,0.02,36.41,1.98
маргарин спред light spread компании benecol,357,0,38.71,5.71
маргарин спред omega plus spread компании smart balance с фитостеролами и рыбим жиром,605,0.13,70.95,0.16
маргарин спред regular buttery spread компании smart balance,583,0.14,64.63,0.14
маргарин спред smart squeeze компании smart beat,47,0,2.1,7.1
маргарин спред super light  компании  smart beat без жирных кислот,158,0,17.1,0
маргарин в смеси со сливочным маслом 80% жира без соли,718,0.9,80.7,0.6
маргарин в смеси со сливочным маслом 80% жира на основе соевого масла,727,0.31,80.32,0.77
маргарин молочный столовый,743,0.3,82,1
маргарин низкокалорийный 60% жирности,545,0.5,60,0.7
маргарин сливочный,743,0.3,82,1
маргарин шоколадный сливочный,641,1.1,62.2,20.1
маргарин soft spread компании canola harvest включая рапсовое пальмовое масла и масло из пальмовых зерен 80% жира в пластиковой коробке,730,0.41,80.32,1.39
маргарин 80% жира без соли в пачке,717,0.16,80.71,0.7
маргарин 80% жира без соли в пластиковой коробке,713,0.22,80.17,0.75
маргарин 80% жира без соли с витамином d,717,0.16,80.71,0.7
маргарин 80% жира на основе кукурузного и соевого масел,717,0.16,80.71,0.7
маргарин 80% жира с солью в пачке,717,0.16,80.71,0.7
маргарин 80% жира с солью в пластиковой коробке,713,0.22,80.17,0.75
маргарин 80% жира с солью с витамином d в пачке,717,0.16,80.71,0.7
маргарин 80% жира с солью с витамином d в пластиковой коробке,713,0.22,80.17,0.75
маргарин 80% жира соевый,719,0.9,80.5,0.9
маргариновый спред 4049% жира,401,0.27,44.46,0
масло авокадо,884,0,100,0
масло грецкого ореха,884,0,100,0
масло из абрикосовых косточек,899.1,0,99.9,0
